Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,HBIPS-2 Measure Description,HBIPS-2 Overall Rate Per 1000,HBIPS-2 Overall Num,HBIPS-2 Overall Den,HBIPS-2 Overall Footnote,HBIPS-3 Measure Description,HBIPS-3 Overall Rate Per 1000,HBIPS-3 Overall Num,HBIPS-3 Overall Den,HBIPS-3 Overall Footnote,HBIPS-5 Measure Description,HBIPS-5 %,HBIPS-5 Denominator,HBIPS-5 Footnote,SMD Measure Description,SMD %,SMD Denominator,SMD Footnote, SUB-2/-2a Measure Description,SUB-2 %,SUB-2 Denominator,SUB-2 Footnote ,SUB-2a %,SUB-2a Denominator,SUB-2a Footnote , SUB-3/-3a Measure Description,SUB-3 %,SUB-3 Denominator,SUB-3 Footnote ,SUB-3a %,SUB-3a Denominator,SUB-3a Footnote ,TOB-2/-2a Measure_Desc,TOB-2 %,TOB-2 Denominator,TOB-2 Footnote,TOB-2a %,TOB-2a Denominator,TOB-2a Footnote,TOB-3/-3a Measure Description,TOB-3 %,TOB-3 Denominator,TOB-3 Footnote,TOB-3a %,TOB-3a Denominator,TOB-3a Footnote,TR-1 Measure Description,TR-1 %,TR-1 Denominator,TR-1 Footnote,TR-2 Measure Description,TR-2 %,TR-2 Denominator,TR-2 Footnote,Start Date,End Date,FUH Measure Description,FUH-30 %,FUH-30 Denominator,FUH-30 Footnote,FUH-7 %,FUH-7 Denominator,FUH-7 Footnote,FUH Measure Start Date,FUH Measure End Date,READM-30-IPF Measure Desc,READM-30-IPF Category,READM-30-IPF Denominator,READM-30-IPF Rate,READM-30-IPF Lower Estimate,READM-30-IPF Higher Estimate,READM-30-IPF Footnote,READM-30-IPF Start Date,READM-30-IPF End Date,IMM-2 Measure Description,IMM-2 %,IMM-2 Denominator,IMM-2 Footnote,Flu Season Start Date,Flu Season End Date,Location
50077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,Hours of physical-restraint use,0,8,16693,,Hours of seclusion use,0,0,16693,,Patients discharged on multiple antipsychotic medications with appropriate justification,93,41,,Screening for metabolic disorders (SMD),99,308,,Alcohol use brief intervention provided or offered,94,142,,92,142,,Alcohol and other drug use disorder treatment provided or offered at discharge,81,367,,73,367,,Tobacco use treatment provided or offered,94,189,,57,189,,Tobacco use treatment provided or offered at discharge,66,176,,56,176,,Transition record with specified elements received by discharged patients (TR1),87,652,,Timely transmission of transition record (TR2),71,652,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,54,92,,38,92,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,319,20,16,23,,42552,43281,Influenza immunization (IPFQR-IMM-2),84,327,,43374,43555,"4077 5TH AVE SAN DIEGO, CA 92103 (32.751211, -117.161024)"
50272,REDLANDS COMMUNITY HOSPITAL,350 TERRACINA BLVD,REDLANDS,CA,92373,SAN BERNARDINO,Hours of physical-restraint use,0,20,3479,,Hours of seclusion use,0,0,3479,,Patients discharged on multiple antipsychotic medications with appropriate justification,93,14,,Screening for metabolic disorders (SMD),98,237,,Alcohol use brief intervention provided or offered,100,105,,100,105,,Alcohol and other drug use disorder treatment provided or offered at discharge,75,322,,65,322,,Tobacco use treatment provided or offered,100,242,,74,242,,Tobacco use treatment provided or offered at discharge,95,239,,16,239,,Transition record with specified elements received by discharged patients (TR1),99,600,,Timely transmission of transition record (TR2),95,600,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,50,52,,37,52,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,111,23,19,29,,42552,43281,Influenza immunization (IPFQR-IMM-2),38,271,,43374,43555,"350 TERRACINA BLVD REDLANDS, CA 92373 (34.038404, -117.206414)"
50567,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,ORANGE,Hours of physical-restraint use,0,80,7753,,Hours of seclusion use,0,1,7753,,Patients discharged on multiple antipsychotic medications with appropriate justification,41,54,,Screening for metabolic disorders (SMD),0,256,,Alcohol use brief intervention provided or offered,99,81,,65,81,,Alcohol and other drug use disorder treatment provided or offered at discharge,70,141,,65,141,,Tobacco use treatment provided or offered,98,126,,21,126,,Tobacco use treatment provided or offered at discharge,44,99,,11,99,,Transition record with specified elements received by discharged patients (TR1),0,537,,Timely transmission of transition record (TR2),0,537,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,42,93,,29,93,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,244,18,15,22,,42552,43281,Influenza immunization (IPFQR-IMM-2),94,275,,43374,43555,
70008,JOHNSON MEMORIAL HOSPITAL,201 CHESTNUT HILL ROAD,STAFFORD SPRINGS,CT,6076,TOLLAND,Hours of physical-restraint use,0,21,4608,,Hours of seclusion use,0,8,4608,,Patients discharged on multiple antipsychotic medications with appropriate justification,55,11,,Screening for metabolic disorders (SMD),90,315,,Alcohol use brief intervention provided or offered,93,231,,93,231,,Alcohol and other drug use disorder treatment provided or offered at discharge,83,332,,80,332,,Tobacco use treatment provided or offered,81,361,,70,361,,Tobacco use treatment provided or offered at discharge,80,327,,80,327,,Transition record with specified elements received by discharged patients (TR1),15,633,,Timely transmission of transition record (TR2),14,633,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,57,69,,36,69,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,245,22,18,26,,42552,43281,Influenza immunization (IPFQR-IMM-2),99,316,,43374,43555,
100135,TALLAHASSEE MEMORIAL HEALTHCARE,1300 MICCOSUKEE RD,TALLAHASSEE,FL,32308,LEON,Hours of physical-restraint use,0,9,4006,,Hours of seclusion use,0,0,4006,,Patients discharged on multiple antipsychotic medications with appropriate justification,17,18,,Screening for metabolic disorders (SMD),57,237,,Alcohol use brief intervention provided or offered,89,106,,89,106,,Alcohol and other drug use disorder treatment provided or offered at discharge,29,222,,23,222,,Tobacco use treatment provided or offered,82,209,,46,209,,Tobacco use treatment provided or offered at discharge,0,203,,0,203,,Transition record with specified elements received by discharged patients (TR1),0,718,,Timely transmission of transition record (TR2),0,718,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,44,99,,18,99,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,250,24,19,29,,42552,43281,Influenza immunization (IPFQR-IMM-2),96,372,,43374,43555,"1300 MICCOSUKEE RD TALLAHASSEE, FL 32308 (30.455849, -84.261757)"
100191,MEDICAL CENTER OF TRINITY,"9330 SR 54, STE 401",TRINITY,FL,34655,PASCO,Hours of physical-restraint use,0,66,15984,,Hours of seclusion use,0,0,15984,,Patients discharged on multiple antipsychotic medications with appropriate justification,83,12,,Screening for metabolic disorders (SMD),88,252,,Alcohol use brief intervention provided or offered,96,159,,95,159,,Alcohol and other drug use disorder treatment provided or offered at discharge,96,420,,33,420,,Tobacco use treatment provided or offered,100,367,,74,367,,Tobacco use treatment provided or offered at discharge,95,368,,80,368,,Transition record with specified elements received by discharged patients (TR1),88,840,,Timely transmission of transition record (TR2),86,840,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,35,147,,13,147,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,530,26,23,30,,42552,43281,Influenza immunization (IPFQR-IMM-2),99,389,,43374,43555,"9330 SR 54, STE 401 TRINITY, FL 34655 (28.206014, -82.660964)"
110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,DE KALB,Hours of physical-restraint use,0,10,1286,,Hours of seclusion use,2,48,1286,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),96,280,,Alcohol use brief intervention provided or offered,77,47,,32,47,,Alcohol and other drug use disorder treatment provided or offered at discharge,88,109,,28,109,,Tobacco use treatment provided or offered,95,77,,18,77,,Tobacco use treatment provided or offered at discharge,77,70,,6,70,,Transition record with specified elements received by discharged patients (TR1),84,612,,Timely transmission of transition record (TR2),81,612,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,71,132,,46,132,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,388,17,14,21,,42552,43281,Influenza immunization (IPFQR-IMM-2),97,302,,43374,43555,"1364 CLIFTON ROAD, NE ATLANTA, GA 30322 (33.791881, -84.320977)"
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,Hours of physical-restraint use,1,201,7562,,Hours of seclusion use,0,0,7562,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,7,Screening for metabolic disorders (SMD),96,364,,Alcohol use brief intervention provided or offered,89,113,,68,113,,Alcohol and other drug use disorder treatment provided or offered at discharge,97,430,,96,430,,Tobacco use treatment provided or offered,95,358,,54,358,,Tobacco use treatment provided or offered at discharge,99,331,,86,331,,Transition record with specified elements received by discharged patients (TR1),76,654,,Timely transmission of transition record (TR2),65,654,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,25,49,,4,49,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,157,27,22,31,,42552,43281,Influenza immunization (IPFQR-IMM-2),87,313,,43374,43555,
140240,WESTLAKE HOSPITAL,1225 LAKE ST,MELROSE PARK,IL,60160,COOK,Hours of physical-restraint use,1,229,12376,,Hours of seclusion use,0,3,12376,,Patients discharged on multiple antipsychotic medications with appropriate justification,0,23,,Screening for metabolic disorders (SMD),82,420,,Alcohol use brief intervention provided or offered,90,70,,79,70,,Alcohol and other drug use disorder treatment provided or offered at discharge,55,386,,25,386,,Tobacco use treatment provided or offered,84,422,,59,422,,Tobacco use treatment provided or offered at discharge,84,401,,1,401,,Transition record with specified elements received by discharged patients (TR1),76,660,,Timely transmission of transition record (TR2),47,660,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,31,52,,8,52,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,167,23,19,28,,42552,43281,Influenza immunization (IPFQR-IMM-2),99,319,,43374,43555,"1225 LAKE ST MELROSE PARK, IL 60160 (41.891794, -87.848963)"
154059,SYCAMORE SPRINGS HOSPITAL LLC,833 PARK EAST BLVD,LAFAYETTE,IN,47905,TIPPECANOE,Hours of physical-restraint use,0,0,14558,,Hours of seclusion use,0,0,14558,,Patients discharged on multiple antipsychotic medications with appropriate justification,41,17,,Screening for metabolic disorders (SMD),93,282,,Alcohol use brief intervention provided or offered,73,226,,64,226,,Alcohol and other drug use disorder treatment provided or offered at discharge,58,401,,57,401,,Tobacco use treatment provided or offered,88,422,,1,422,,Tobacco use treatment provided or offered at discharge,14,400,,1,400,,Transition record with specified elements received by discharged patients (TR1),99,593,,Timely transmission of transition record (TR2),56,593,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,66,128,,42,128,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Better Than the National Rate,406,16,13,19,,42552,43281,Influenza immunization (IPFQR-IMM-2),82,297,,43374,43555,"833 PARK EAST BLVD LAFAYETTE, IN 47905 (40.406822, -86.828976)"
